case_id,dimension,setting,evidence_class,policy,episodes,mean_cost_bps,median_cost_bps,p95_cost_bps,cvar95_cost_bps,completion_rate,invalid_action_rate
spread_adversarial,spread,adversarial_wide,synthetic_engineering,liquidity_aware,24,1.041546194258087,0.8047681285826207,7.907614699772705,8.223422591438062,1.0,0.0
spread_adversarial,spread,adversarial_wide,synthetic_engineering,ppo_seed_27,24,1.5539200032581242,0.7718241399937948,10.561033503954675,11.447655579196212,1.0,0.0
spread_adversarial,spread,adversarial_wide,synthetic_engineering,ppo_seed_127,24,1.5539200032581242,0.7718241399937948,10.561033503954675,11.447655579196212,1.0,0.0
spread_adversarial,spread,adversarial_wide,synthetic_engineering,ppo_seed_227,24,-2.2381655452502653,-2.7328617521873215,2.8677194755899045,3.726050033873163,1.0,0.0
spread_adversarial,spread,adversarial_wide,synthetic_engineering,ppo_seed_327,24,5.926555057270188,5.863821048610321,10.952814291093583,11.061397313317253,1.0,0.0
spread_adversarial,spread,adversarial_wide,synthetic_engineering,ppo_seed_427,24,1.4803596799286953,0.6866676712271405,10.476001762542923,11.081682752339223,1.0,0.0
volatility_low,volatility,low,synthetic_engineering,immediate,24,3.8720074083087943,3.862602801282044,4.143566598237227,4.150752217754927,1.0,0.0
volatility_low,volatility,low,synthetic_engineering,twap_like,24,2.959674983227456,3.170085790083898,4.208321172170861,5.026819546760031,1.0,0.0
volatility_low,volatility,low,synthetic_engineering,liquidity_aware,24,1.3625860274114847,1.0918713191059477,4.250778720467463,4.887779899158005,1.0,0.0
volatility_low,volatility,low,synthetic_engineering,ppo_seed_27,24,1.7431283155498078,1.3774322850935912,6.260015562508731,6.476354408193853,1.0,0.0
volatility_low,volatility,low,synthetic_engineering,ppo_seed_127,24,1.7431283155498078,1.3774322850935912,6.260015562508731,6.476354408193853,1.0,0.0
volatility_low,volatility,low,synthetic_engineering,ppo_seed_227,24,0.5887094160454793,0.4761554931514996,4.150046361029149,4.743731486129102,1.0,0.0
volatility_low,volatility,low,synthetic_engineering,ppo_seed_327,24,3.151830864706843,3.283808001437123,5.314731694969242,5.427914715485408,1.0,0.0
volatility_low,volatility,low,synthetic_engineering,ppo_seed_427,24,1.7340042405705802,1.3889857315720104,5.983846231298522,6.246502245091541,1.0,0.0
volatility_high,volatility,high,synthetic_engineering,immediate,24,4.097007408308794,4.087602801282044,4.368566598237228,4.375752217754927,1.0,0.0
volatility_high,volatility,high,synthetic_engineering,twap_like,24,3.188990361708998,2.6465916153706477,11.652111689120687,12.26829011696669,1.0,0.0
volatility_high,volatility,high,synthetic_engineering,liquidity_aware,24,2.1991999995466327,2.9365773480421797,10.528686117006657,11.373728042880677,1.0,0.0
volatility_high,volatility,high,synthetic_engineering,ppo_seed_27,24,4.490719827953046,3.1102010670291005,18.92805829542044,23.83459059300354,1.0,0.0
volatility_high,volatility,high,synthetic_engineering,ppo_seed_127,24,4.490719827953046,3.1102010670291005,18.92805829542044,23.83459059300354,1.0,0.0
volatility_high,volatility,high,synthetic_engineering,ppo_seed_227,24,3.912283244279242,2.4081589343602765,17.4601917010473,21.891393215676487,1.0,0.0
volatility_high,volatility,high,synthetic_engineering,ppo_seed_327,24,2.209118688055644,2.5305119652083023,10.738383441166343,11.118905927565088,1.0,0.0
