case_id,dimension,setting,policy,comparator,episodes,mean_difference_bps,median_difference_bps,mean_ci95_low_bps,mean_ci95_high_bps,raw_two_sided_p_value,holm_adjusted_p_value,relative_change_percent,paired_standardized_effect
size_50pct_depth,parent_size,50pct_depth_proxy,twap_like,liquidity_aware,24,0.514488902399,0.482807619408,-0.578477081992,1.48092500801,0.32902123505,0.727117402978,23.973706683,0.141690230826
size_50pct_depth,parent_size,50pct_depth_proxy,immediate,liquidity_aware,24,1.18131633339,2.07256137735,-0.436441508924,2.65699464982,0.152062484745,0.456187454235,55.0459517095,0.382388829503
spread_adversarial,spread,adversarial_wide,ppo_aggregate,liquidity_aware,24,0.613771645435,0.677751072886,0.0532001544113,1.13312759899,0.0244081034904,0.0732243104711,58.9288932952,0.347653346352
spread_adversarial,spread,adversarial_wide,twap_like,liquidity_aware,24,5.17143142551,5.3335381246,4.01261211061,6.38545773362,0.000244081034904,0.000732243104711,496.514840534,1.19400615034
spread_adversarial,spread,adversarial_wide,immediate,liquidity_aware,24,6.90546121405,6.91930341956,4.97664132499,8.72241210975,0.000244081034904,0.000732243104711,663.000954938,1.8937412723
spread_narrow,spread,narrow,ppo_aggregate,liquidity_aware,24,-0.041430850919,-0.214967775276,-1.25740595113,1.18776492245,0.944349524042,0.944349524042,-1.55941828403,-0.0127019836198
spread_narrow,spread,narrow,twap_like,liquidity_aware,24,-0.306336869533,-0.0661551454956,-1.05358579912,0.477862757757,0.44300707835,0.44300707835,-11.5302318158,-0.0844847360032
spread_narrow,spread,narrow,immediate,liquidity_aware,24,0.290192919009,1.35117101761,-1.13615985335,1.82162149143,0.707102758116,0.707102758116,10.9225886933,0.0812749717795
spread_wide,spread,wide,ppo_aggregate,liquidity_aware,24,0.473266437242,0.875272776792,0.0111817918864,0.900333182282,0.0392970466195,0.078594093239,28.9186115798,0.296053674162
spread_wide,spread,wide,twap_like,liquidity_aware,24,3.03143142551,3.33647311329,2.03286991722,4.02453206776,0.000244081034904,0.000732243104711,185.233477438,0.777976032167
spread_wide,spread,wide,immediate,liquidity_aware,24,4.31046121405,4.71930341956,2.54708222424,5.98302313666,0.000244081034904,0.000732243104711,263.38768983,1.27677465411
volatility_high,volatility,high,ppo_aggregate,liquidity_aware,24,1.7001468299,0.902374454111,-0.81247563186,4.98888038232,0.26678057115,0.26678057115,77.3075131982,0.223586104887
volatility_high,volatility,high,twap_like,liquidity_aware,24,0.989790362162,2.47771554332,-0.638776382171,2.47375248168,0.229192091774,0.407615328289,45.0068371393,0.224798436883
volatility_high,volatility,high,immediate,liquidity_aware,24,1.89780740876,1.22952582744,-0.0229389981444,3.67946165693,0.0422260190383,0.0844520380766,86.2953532718,0.355694407612
volatility_low,volatility,low,ppo_aggregate,liquidity_aware,24,0.429574203073,0.507971597939,0.167485857704,0.680261332903,0.000732243104711,0.00219672931413,31.52639132,0.495363335006
volatility_low,volatility,low,twap_like,liquidity_aware,24,1.59708895582,1.78641019499,1.08049149053,2.11429329475,0.000244081034904,0.000732243104711,117.210137466,0.818336627683
volatility_low,volatility,low,immediate,liquidity_aware,24,2.5094213809,2.58033645174,1.70245436199,3.27758334874,0.000244081034904,0.000732243104711,184.166087896,1.51644474754
volatility_shock,volatility,shock,ppo_aggregate,liquidity_aware,24,6.16390245561,4.64993241506,0.1689005087,13.2631050672,0.0615084207957,0.123016841591,748.016155374,0.369157306441
volatility_shock,volatility,shock,twap_like,liquidity_aware,24,2.37762880253,5.93313293159,-1.2024647497,5.88248101686,0.203807664144,0.407615328289,288.535512783,0.268017381277
volatility_shock,volatility,shock,immediate,liquidity_aware,24,3.57297407543,2.11787794785,-0.207715580494,7.30377605792,0.0644373932145,0.0844520380766,433.595818623,0.334363451389
